"token","lsd","n"
"renewal",0,8
"renewed",0,8
"replacement",0,8
"residents",0,8
"resolution",1,8
"resolved",1,8
"responsibilities",1,8
"resulting",0,8
"roads",0,8
"safe",1,8
"sanctions",0,8
"sat",0,8
"satisfied",1,8
"sentence",0,8
"sentencing",0,8
"serving",0,8
"shame",-1,8
"sign",0,8
"simplified",0,8
"spain",0,8
"speaks",0,8
"stages",0,8
"stance",0,8
"statements",0,8
"struck",-1,8
"style",0,8
"suffer",-1,8
"summer",0,8
"tackle",0,8
"tape",0,8
"tariff",0,8
"technical",0,8
"terrorist",-1,8
"thatcher",0,8
"touch",0,8
"touched",0,8
"understands",1,8
"undertake",0,8
"unemployed",0,8
"unlike",0,8
"vans",0,8
"wage",0,8
"wirral",0,8
"withdraw",0,8
"2008",0,7
"2013",0,7
"abolish",-1,7
"acts",0,7
"adequately",1,7
"adopted",1,7
"agreements",1,7
"agrees",1,7
"aldridge",0,7
"allocation",0,7
"appalling",-1,7
"approached",0,7
"arbitrary",-1,7
"arose",0,7
"assume",0,7
"assumption",0,7
"attended",0,7
"av",0,7
"base",0,7
"beaconsfield",0,7
"bear",0,7
"bed",0,7
"birmingham",0,7
"birthday",0,7
"bound",0,7
"break",0,7
"bridge",0,7
"brownhills",0,7
"budgets",0,7
"calls",0,7
"cancer",-1,7
"candidate",0,7
"capable",1,7
"card",0,7
"chesham",0,7
"choosing",0,7
"climate",0,7
"closed",0,7
"code",0,7
"commencement",0,7
"communication",0,7
"competitive",0,7
"concept",0,7
"conducted",0,7
"conflict",-1,7
"consistent",1,7
"continuing",0,7
"conviction",-1,7
"core",0,7
"criterion",0,7
"criticism",-1,7
"daylight",0,7
"deep",0,7
"define",0,7
"deliberately",0,7
"demonstrate",0,7
"determine",1,7
"develop",0,7
"disabilities",-1,7
"disabled",-1,7
"disgrace",-1,7
"distinction",0,7
"distinguished",1,7
"document",0,7
"domain",0,7
"double",-1,7
"driving",0,7
"drop",0,7
"earth",0,7
"elect",0,7
"employed",0,7
"enjoying",1,7
"essence",0,7
"essentially",0,7
"essex",0,7
"estate",0,7
"eventually",0,7
"examined",0,7
"excessive",-1,7
"expensive",0,7
"fails",-1,7
"farmers",0,7
"feeling",0,7
"finance",0,7
"firm",0,7
"fiscal",0,7
"focused",0,7
"forget",-1,7
"forthwith",0,7
"functioning",0,7
"gateway",0,7
"global",0,7
"gp",0,7
"granted",0,7
"harrow",0,7
"honour",1,7
"hoping",1,7
"identified",0,7
"immensely",0,7
"improving",1,7
"incomes",0,7
"incredibly",0,7
"industries",0,7
"inheritance",0,7
"inherited",0,7
"inquests",0,7
"instrument",0,7
"intent",0,7
"interference",-1,7
"issued",0,7
"jail",-1,7
"john",0,7
"joined",1,7
"jury",0,7
"justified",1,7
"keeping",1,7
"kids",0,7
"labour's",0,7
"lay",0,7
"leaders",0,7
"lending",0,7
"leverage",0,7
"lieu",0,7
"logical",0,7
"lots",0,7
"love",1,7
"material",0,7
"meals",0,7
"meaning",0,7
"medical",0,7
"merits",1,7
"miles",0,7
"mistake",-1,7
"mother",0,7
"mouth",0,7
"noble",1,7
"noticed",0,7
"november",0,7
"objectives",0,7
"offering",0,7
"olds",0,7
"openness",1,7
"overcome",0,7
"package",0,7
"passage",0,7
"payment",0,7
"penal",0,7
"person's",0,7
"perspective",0,7
"persuaded",0,7
"picture",0,7
"placing",0,7
"preference",1,7
"pressed",0,7
"presume",0,7
"prevented",0,7
"prior",0,7
"prisons",0,7
"produce",0,7
"project",0,7
"proportional",0,7
"prosecutions",0,7
"protections",1,7
"quoted",0,7
"rail",0,7
"rape",-1,7
"referendums",0,7
"reforms",0,7
"reject",-1,7
"relate",0,7
"replace",0,7
"reports",0,7
"residential",0,7
"resolve",1,7
"restrictions",-1,7
"revenues",0,7
"reviewed",0,7
"richard",1,7
"rigours",-1,7
"ruled",0,7
"sake",0,7
"scrutinise",0,7
"sea",0,7
"secretaries",0,7
"sefton",0,7
"settled",0,7
"spectrum",0,7
"speed",0,7
"stated",0,7
"station",0,7
"statutory",0,7
"strike",0,7
"stronger",1,7
"student",0,7
"subjects",0,7
"suddenly",0,7
"taxpayer",0,7
"technology",0,7
"thresholds",0,7
"transferred",0,7
"trusts",1,7
"ultimately",0,7
"undermined",-1,7
"undermines",-1,7
"undertaking",0,7
"undoubtedly",1,7
"urgent",0,7
"utterly",0,7
"violence",-1,7
"visa",0,7
"warm",1,7
"watching",0,7
"withdrawal",0,7
"won",1,7
"workplace",0,7
"zones",0,7
"114",0,6
"1970s",0,6
"22",0,6
"24",0,6
"abolished",-1,6
"absence",0,6
"accepting",1,6
"acting",0,6
"active",1,6
"advise",0,6
"al",0,6
"altrincham",0,6
"ambulance",0,6
"amersham",0,6
"anger",-1,6
"announcement",0,6
"annual",0,6
"anxiety",-1,6
"appeals",0,6
"appointed",0,6
"appointments",0,6
"arrive",0,6
"audit",0,6
"backbench",0,6
"begin",0,6
"bethnal",0,6
"bill's",0,6
"born",0,6
"brussels",0,6
"bureaucracy",0,6
"challenged",-1,6
"challenges",-1,6
"channels",0,6
"charitable",1,6
"charter",0,6
"christchurch",0,6
"cited",0,6
"citizenship",0,6
"clacton",0,6
"college",0,6
"comfort",1,6
"commitments",1,6
"complex",0,6
"complicated",-1,6
"comprehensive",1,6
"concede",0,6
"conclude",0,6
"connected",0,6
"consumers",0,6
"correspondence",0,6
"coventry",0,6
"creation",1,6
"culture",0,6
"curriculum",0,6
"cymru",0,6
"dangers",-1,6
"deadline",0,6
"december",0,6
"deemed",0,6
"deferred",0,6
"deliberate",0,6
"delivery",0,6
"democratically",0,6
"departments",0,6
"desire",1,6
"died",-1,6
"directions",0,6
"director",0,6
"dispute",-1,6
"distinct",0,6
"divided",-1,6
"divisions",-1,6
"dramatic",0,6
"dramatically",0,6
"dropped",0,6
"dual",0,6
"educational",1,6
"eea",0,6
"elderly",0,6
"electors",0,6
"enabling",0,6
"enforce",0,6
"enforced",0,6
"enforcement",0,6
"engage",0,6
"ensures",1,6
"enterprise",0,6
"entry",0,6
"equivalent",0,6
"establish",0,6
"exchequer",0,6
"excluded",-1,6
"executives",0,6
"exercised",0,6
"exit",0,6
"expenses",0,6
"experiences",0,6
"exploit",-1,6
"familiar",0,6
"famous",1,6
"farming",0,6
"fee",0,6
"finding",0,6
"firmly",1,6
"firms",0,6
"flat",0,6
"formed",0,6
"fought",-1,6
"fraud",-1,6
"freezing",-1,6
"functions",0,6
"gain",0,6
"gas",0,6
"generosity",1,6
"german",0,6
"germany",0,6
"governance",0,6
"gps",0,6
"greatly",0,6
"grim",-1,6
"grow",0,6
"haltemprice",0,6
"handle",0,6
"harder",-1,6
"hoped",1,6
"howden",0,6
"includes",0,6
"inform",0,6
"initiative",0,6
"instances",0,6
"internal",0,6
"interventions",0,6
"interview",0,6
"july",0,6
"justifiable",1,6
"laid",0,6
"lane",0,6
"leaves",0,6
"legacy",0,6
"legally",0,6
"legitimacy",1,6
"licences",0,6
"links",0,6
"liverpool",0,6
"load",0,6
"loan",0,6
"lucky",1,6
"macro",0,6
"male",0,6
"managers",0,6
"manuscript",0,6
"marginal",0,6
"mark",0,6
"match",0,6
"maximum",0,6
"medium",0,6
"member's",0,6
"merit",1,6
"methods",0,6
"michael",0,6
"midlands",0,6
"movements",0,6
"murders",-1,6
"names",0,6
"negotiating",0,6
"neighbour",0,6
"newly",0,6
"numerous",0,6
"obtain",1,6
"occurred",0,6
"odd",-1,6
"offence",0,6
"officials",0,6
"oil",0,6
"organised",0,6
"outlets",0,6
"owe",-1,6
"ownership",0,6
"oxford",0,6
"park",0,6
"partisan",0,6
"partly",0,6
"passport",0,6
"percentage",0,6
"personnel",0,6
"perverse",-1,6
"phrase",0,6
"plaid",0,6
"played",0,6
"poll",0,6
"pound",0,6
"pounds",0,6
"practices",0,6
"prefer",0,6
"pretend",0,6
"prevents",0,6
"principal",1,6
"privileged",1,6
"producing",0,6
"professor",0,6
"profoundly",0,6
"properties",0,6
"proportionate",0,6
"prosecute",0,6
"prosperous",1,6
"protest",-1,6
"prove",0,6
"pushing",0,6
"qualify",0,6
"ran",0,6
"ranks",0,6
"readily",0,6
"realistic",0,6
"recognition",0,6
"recommendation",0,6
"reconsider",0,6
"reflects",0,6
"reinforce",1,6
"relations",0,6
"remaining",0,6
"removals",0,6
"rent",0,6
"republic",0,6
"reservations",0,6
"respected",1,6
"restore",1,6
"restricted",-1,6
"reviews",0,6
"revolution",0,6
"river",0,6
"rock",0,6
"runs",0,6
"safeguard",1,6
"satisfactory",1,6
"science",0,6
"sensitive",1,6
"sentenced",0,6
"severe",-1,6
"sex",0,6
"shift",0,6
"site",0,6
"situations",0,6
"snp",0,6
"speakers",0,6
"spelthorne",0,6
"square",0,6
"st",0,6
"stability",1,6
"stake",0,6
"stick",0,6
"stories",0,6
"story",0,6
"strength",1,6
"strengthen",1,6
"stress",-1,6
"structural",0,6
"studied",0,6
"stv",0,6
"subsequently",0,6
"substance",0,6
"sufficiently",1,6
"survey",0,6
"suspend",0,6
"sympathetic",1,6
"tables",0,6
"tabling",0,6
"tackling",0,6
"tells",0,6
"threats",-1,6
"thrown",0,6
"title",0,6
"tories",0,6
"trading",0,6
"trafford",0,6
"treat",0,6
"uncertainty",-1,6
"unusual",-1,6
"valuable",1,6
"veto",0,6
"wait",-1,6
"walk",0,6
"warrant",0,6
"waste",-1,6
"wasting",0,6
"weald",0,6
"weapons",0,6
"weather",0,6
"weekend",0,6
"welcomed",1,6
"widely",0,6
"wished",0,6
"withdrawn",0,6
"wondering",0,6
"worrying",-1,6
"year's",0,6
"zone",0,6
"10p",0,5
"1979",0,5
"1983",0,5
"27",0,5
"36",0,5
"42",0,5
"abolition",0,5
"absurd",-1,5
"accession",0,5
"accident",-1,5
"accountable",1,5
"actively",1,5
"adapt",0,5
"addressing",0,5
"adopting",1,5
"advanced",1,5
"advocate",1,5
"advocates",1,5
"albeit",0,5
"allowances",0,5
"alongside",0,5
"altogether",0,5
"america",0,5
"amounts",0,5
"animals",0,5
"anxious",-1,5
"apparent",0,5
"applicant",0,5
"appoint",0,5
"appreciation",1,5
"apprenticeships",0,5
"arisen",0,5
"assertion",1,5
"assets",1,5
"assistance",1,5
"associations",0,5
"attempted",0,5
"attitude",0,5
"attract",1,5
"australia",0,5
"australian",0,5
"automatically",0,5
"bar",0,5
"battle",-1,5
"beg",0,5
"billions",0,5
"black",0,5
"blocking",-1,5
"bold",1,5
"borrow",0,5
"bournemouth",0,5
"bow",0,5
"briefing",0,5
"buildings",0,5
"buses",0,5
"cabinet",0,5
"campaigned",0,5
"campaigning",0,5
"carbon",0,5
"cash",0,5
"categories",0,5
"category",0,5
"cell",0,5
"centuries",0,5
"chancellor's",0,5
"charity",1,5
"cheltenham",0,5
"choices",0,5
"church",0,5
"cities",0,5
"claimants",0,5
"closer",0,5
"combined",0,5
"commissioned",0,5
"commissioners",0,5
"committee's",0,5
"committing",0,5
"company",0,5
"concentrate",0,5
"conducting",0,5
"confused",-1,5
"considers",0,5
"constables",0,5
"constantly",0,5
"contact",0,5
"contempt",-1,5
"continually",0,5
"convictions",-1,5
"cope",1,5
"count",0,5
"country's",0,5
"court's",0,5
"courtesy",1,5
"criminality",-1,5
"criticised",-1,5
"custody",0,5
"de",0,5
"debts",-1,5
"decline",0,5
"deny",-1,5
"denying",-1,5
"destroyed",-1,5
"devon",0,5
"dilemma",-1,5
"disadvantaged",-1,5
"disaster",-1,5
"diseases",-1,5
"diverse",0,5
"doctors",0,5
"donation",0,5
"dorset",0,5
"doubled",0,5
"drafting",0,5
"driven",0,5
"dup",0,5
"durham",0,5
"earnings",0,5
"effort",1,5
"emphasis",0,5
"employees",0,5
"empty",-1,5
"encourages",1,5
"endorse",0,5
"engagement",0,5
"enhance",1,5
"equipment",0,5
"estimate",0,5
"euro",0,5
"exact",0,5
"excuse",0,5
"experiment",0,5
"expert",1,5
"expressing",0,5
"extreme",-1,5
"eyes",0,5
"fallen",-1,5
"father",0,5
"fault",-1,5
"faults",-1,5
"fertilisation",0,5
"filling",0,5
"fish",0,5
"flawed",-1,5
"foot",0,5
"footing",0,5
"forecast",0,5
"forecasts",0,5
"fortunate",1,5
"founded",0,5
"freud",0,5
"frome",0,5
"funded",0,5
"game",0,5
"girls",0,5
"governing",0,5
"gross",-1,5
"grown",0,5
"guidelines",0,5
"hall",0,5
"handling",0,5
"harwich",0,5
"hate",-1,5
"heat",0,5
"hereditary",0,5
"highlighted",0,5
"hirst",0,5
"historical",0,5
"honestly",1,5
"hull",0,5
"humour",1,5
"hundred",0,5
"husband",0,5
"hypothecation",0,5
"identifying",0,5
"immediately",0,5
"impression",0,5
"improvements",1,5
"increasingly",0,5
"incumbent",0,5
"india",0,5
"inflation",0,5
"inland",0,5
"intelligence",1,5
"interpreted",0,5
"inverness",0,5
"invest",0,5
"investigations",0,5
"invite",1,5
"ipsa",0,5
"isles",0,5
"james",0,5
"jedda",0,5
"jurisdiction",0,5
"kinds",0,5
"knowing",0,5
"lancashire",0,5
"learning",1,5
"legislating",0,5
"lessons",0,5
"letters",0,5
"lib",0,5
"lifetime",0,5
"linked",0,5
"listed",0,5
"ludicrous",-1,5
"maidstone",0,5
"mainstream",0,5
"markets",0,5
"married",0,5
"mass",0,5
"medway",0,5
"meps",0,5
"merseyside",0,5
"mid",0,5
"migration",0,5
"minds",0,5
"misuse",-1,5
"mix",0,5
"moves",0,5
"navy",0,5
"newspapers",0,5
"obligations",0,5
"occur",0,5
"offending",-1,5
"outlined",0,5
"output",0,5
"panels",0,5
"parent",0,5
"parliamentarians",0,5
"passionate",1,5
"passionately",1,5
"patient",0,5
"perception",0,5
"phone",0,5
"pieces",0,5
"potentially",0,5
"precedent",0,5
"precise",1,5
"preventing",0,5
"privatised",0,5
"productivity",0,5
"projects",0,5
"proof",0,5
"publication",0,5
"pursuing",0,5
"qmv",0,5
"quick",0,5
"quote",0,5
"radio",0,5
"railways",0,5
"rapid",0,5
"ratification",0,5
"ready",1,5
"reassured",1,5
"recommend",0,5
"recommended",0,5
"refusal",-1,5
"regularly",0,5
"regulators",0,5
"religion",0,5
"religious",0,5
"reminded",0,5
"reoffending",0,5
"repeal",-1,5
"repeating",0,5
"reply",0,5
"reported",0,5
"requiring",0,5
"rescue",1,5
"resort",0,5
"retention",0,5
"retired",0,5
"reverse",0,5
"revised",0,5
"rodney",0,5
"sad",-1,5
"sanction",0,5
"savage",-1,5
"scepticism",0,5
"scientific",0,5
"search",0,5
"secretary's",0,5
"sectarian",0,5
"sell",0,5
"senate",0,5
"serves",0,5
"sets",0,5
"shares",0,5
"signal",0,5
"significantly",0,5
"signing",0,5
"sits",0,5
"soft",0,5
"sold",0,5
"solely",0,5
"somerton",0,5
"sooner",0,5
"spell",0,5
"spelled",0,5
"sports",0,5
"spread",0,5
"strain",-1,5
"street",0,5
"strongest",1,5
"study",0,5
"substantive",0,5
"successfully",1,5
"suffice",1,5
"suggestions",0,5
"sun",0,5
"supporters",1,5
"suppose",0,5
"surgery",0,5
"suspicious",-1,5
"sussex",0,5
"syndrome",0,5
"targeted",0,5
"targets",0,5
"tariffs",0,5
"teach",0,5
"territories",0,5
"terrorists",-1,5
"text",0,5
"theoretical",0,5
"thirdly",0,5
"throw",0,5
"tony",0,5
"transparent",0,5
"trend",0,5
"type",0,5
"unhappy",-1,5
"unpopular",-1,5
"usage",0,5
"vehicle",0,5
"vested",0,5
"virtue",1,5
"voter",0,5
"wages",0,5
"waited",0,5
"widening",0,5
"wife",0,5
"win",1,5
"wind",0,5
"winning",1,5
"wright",0,5
"writing",0,5
"yorkshire",0,5
"140",0,4
"1930s",0,4
"1967",0,4
"1970",0,4
"1986",0,4
"1990",0,4
"1990s",0,4
"1992",0,4
"19th",0,4
"30,000",0,4
"4,000",0,4
"500",0,4
"600",0,4
"62",0,4
"63",0,4
"abandoned",-1,4
"abolishing",-1,4
"abused",-1,4
"accepts",1,4
"acknowledged",0,4
"actual",1,4
"adopt",1,4
"advisers",0,4
"advocating",1,4
"afford",1,4
"airports",0,4
"allegation",-1,4
"alter",0,4
"alternatives",0,4
"amsterdam",0,4
"answers",0,4
"apology",1,4
"applications",0,4
"applying",0,4
"appointment",0,4
"approve",1,4
"approved",1,4
"arises",0,4
"arundel",0,4
"ashamed",-1,4
"aspiration",1,4
"assist",1,4
"assured",1,4
"asylum",0,4
"attempts",0,4
"attendance",0,4
"auditors",0,4
"baby",0,4
"backbone",1,4
"backwards",-1,4
"baker",0,4
"ball",0,4
"baroness",0,4
"barriers",0,4
"basically",0,4
"beacon",0,4
"beds",0,4
"belfast",0,4
"bencher",0,4
"betrayal",-1,4
"bingo",0,4
"biometric",0,4
"birkenhead",0,4
"blair",0,4
"blood",-1,4
"bonuses",0,4
"boost",0,4
"breach",-1,4
"brexit",0,4
"broadly",0,4
"burnley",0,4
"bust",0,4
"busy",0,4
"cannock",0,4
"careful",1,4
"cares",1,4
"catchment",0,4
"celebrating",1,4
"character",0,4
"chase",-1,4
"cheap",1,4
"children's",0,4
"circumstance",0,4
"cite",0,4
"citizen",0,4
"clerk",0,4
"coal",0,4
"coast",0,4
"coherent",1,4
"collapse",-1,4
"collective",0,4
"collectively",0,4
"colleges",0,4
"combat",-1,4
"commission's",0,4
"commissioner",0,4
"commissioning",0,4
"comparisons",0,4
"compatible",1,4
"competing",0,4
"complaint",-1,4
"compliance",1,4
"compliment",1,4
"comply",1,4
"conceded",0,4
"confirmed",1,4
"confront",-1,4
"congleton",0,4
"considerably",0,4
"consistency",1,4
"constant",0,4
"content",0,4
"continued",0,4
"continues",0,4
"controlling",0,4
"controversial",-1,4
"convenient",1,4
"convince",1,4
"copy",0,4
"corporate",0,4
"councillor",0,4
"countryside",0,4
"courses",0,4
"cps",0,4
"cranleigh",0,4
"croydon",0,4
"crying",-1,4
"cynical",-1,4
"dead",-1,4
"decade",0,4
"decent",1,4
"defined",0,4
"defining",0,4
"delight",1,4
"dem",0,4
"demonstrated",0,4
"departmental",0,4
"depend",-1,4
"derbyshire",0,4
"describing",0,4
"description",0,4
"designated",0,4
"destruction",-1,4
"determination",1,4
"determining",1,4
"deterrent",-1,4
"developers",0,4
"developments",0,4
"diminish",0,4
"dip",0,4
"directive",0,4
"disadvantage",-1,4
"disagreement",-1,4
"disappointing",-1,4
"disastrous",-1,4
"discourage",-1,4
"discourteous",0,4
"discover",1,4
"discredited",-1,4
"dispatch",0,4
"disquiet",-1,4
"dissolved",0,4
"documents",0,4
"doubts",-1,4
"drawing",0,4
"dreams",0,4
"echo",0,4
"economies",0,4
"eggs",0,4
"eligible",0,4
"eloquent",1,4
"els",0,4
"ema",0,4
"embarrassment",-1,4
"embryology",0,4
"embryos",0,4
"emerged",0,4
"emphasise",0,4
"enjoy",1,4
"enlightened",1,4
"enshrine",0,4
"enter",0,4
"enthusiastic",1,4
"envisage",0,4
"envisaged",0,4
"error",-1,4
"escape",1,4
"establishing",0,4
"ethical",1,4
"examining",0,4
"exception",0,4
"excess",0,4
"excise",0,4
"exemption",0,4
"expand",0,4
"expanded",0,4
"expectation",0,4
"expectations",0,4
"expense",0,4
"expertise",1,4
"explained",0,4
"fabric",0,4
"false",-1,4
"faster",0,4
"feed",0,4
"feelings",0,4
"feels",0,4
"fellow",0,4
"fields",0,4
"finances",0,4
"finish",0,4
"fisheries",0,4
"flies",0,4
"flow",0,4
"football",0,4
"forcing",-1,4
"forensic",0,4
"forthcoming",0,4
"foyle",0,4
"freeze",0,4
"frequently",0,4
"friendly",1,4
"frightened",-1,4
"function",0,4
"gambling",-1,4
"gather",0,4
"gay",0,4
"generate",1,4
"generations",0,4
"gentlemen",0,4
"gently",1,4
"gla",0,4
"glorious",1,4
"golden",1,4
"govern",0,4
"grade",0,4
"grantham",0,4
"guillotine",0,4
"guillotined",0,4
"guilt",-1,4
"hackney",-1,4
"handed",0,4
"hang",0,4
"harlington",0,4
"hayes",0,4
"heating",0,4
"hertsmere",0,4
"hindsight",0,4
"historically",0,4
"holiday",1,4
"holland",0,4
"homeless",-1,4
"host",0,4
"hove",0,4
"humberside",0,4
"hykeham",0,4
"id",0,4
"imbalance",-1,4
"implemented",0,4
"imposed",0,4
"imprisonment",-1,4
"inability",-1,4
"inadequate",-1,4
"incidentally",0,4
"independently",0,4
"indication",0,4
"indictment",-1,4
"inevitably",0,4
"inherent",0,4
"innocence",1,4
"inspectors",0,4
"institute",0,4
"insufficient",-1,4
"integrated",0,4
"integration",0,4
"integrity",1,4
"intercept",0,4
"intergovernmental",0,4
"interpretation",0,4
"interrupted",-1,4
"investigated",0,4
"irrespective",0,4
"it.i",0,4
"judged",0,4
"judiciary",0,4
"killed",-1,4
"king",0,4
"knock",-1,4
"lacuna",0,4
"lasted",0,4
"lecture",0,4
"legislature",0,4
"leicestershire",0,4
"liabilities",-1,4
"licensing",0,4
"locked",0,4
"lone",-1,4
"lyons",0,4
"magic",0,4
"mainland",0,4
"maintained",0,4
"manifestos",0,4
"maths",0,4
"meaningful",1,4
"mechanisms",0,4
"method",0,4
"middlesex",0,4
"mirror",0,4
"misery",-1,4
"mislead",-1,4
"misled",-1,4
"mismatch",0,4
"miss",0,4
"mixed",0,4
"monitoring",0,4
"motivation",0,4
"multi",0,4
"neighbours",0,4
"neutrality",1,4
"newcastle",0,4
"noted",0,4
"notion",0,4
"nottingham",0,4
"nub",0,4
"oecd",0,4
"offender",-1,4
"ogmore",0,4
"operated",0,4
"operations",0,4
"operative",0,4
"orange",0,4
"organise",0,4
"outer",0,4
"outlet",0,4
"outrageous",-1,4
"outright",0,4
"override",0,4
"overturn",-1,4
"owing",0,4
"pact",0,4
"papua",0,4
"partner",1,4
"partnerships",1,4
"passenger",0,4
"path",0,4
"payroll",0,4
"permanently",0,4
"persecution",-1,4
"persons",0,4
"peter",0,4
"picked",0,4
"planned",0,4
"politically",0,4
"polls",0,4
"postmasters",0,4
"practically",1,4
"prayed",0,4
"precedence",0,4
"predict",0,4
"preferable",0,4
"preparing",0,4
"presence",0,4
"pricing",0,4
"pride",1,4
"privilege",1,4
"probability",0,4
"proceeding",0,4
"proceeds",0,4
"processes",0,4
"production",0,4
"productive",1,4
"prosecution",0,4
"publicity",0,4
"pull",0,4
"purported",0,4
"pushed",0,4
"qualifications",0,4
"questioned",0,4
"radical",0,4
"railway",0,4
"reassurance",1,4
"receipts",0,4
"recess",0,4
"recommending",0,4
"recruitment",0,4
"recruits",0,4
"reflecting",0,4
"reforming",0,4
"refugee",0,4
"registered",0,4
"regulator",0,4
"reiterate",0,4
"release",0,4
"removing",0,4
"reorganisation",0,4
"replaced",0,4
"resist",0,4
"resisted",0,4
"respects",1,4
"responds",0,4
"restoring",1,4
"restrict",-1,4
"restrictive",-1,4
"retained",0,4
"rhetoric",0,4
"rigorous",-1,4
"risen",0,4
"robust",1,4
"roughly",0,4
"rulebook",0,4
"salisbury",0,4
"samples",0,4
"scandal",-1,4
"scheduled",0,4
"sen",0,4
"shareholders",0,4
"sheep",0,4
"sheer",0,4
"sheets",0,4
"sheffield",0,4
"shocked",-1,4
"shocking",-1,4
"shop",0,4
"shopping",0,4
"shorter",0,4
"shortly",0,4
"similarly",0,4
"sites",0,4
"sleaford",0,4
"sleeping",0,4
"slip",0,4
"sounds",0,4
"southampton",0,4
"southern",0,4
"speaker's",0,4
"spokesmen",0,4
"spring",0,4
"staffing",0,4
"stamford",0,4
"state's",0,4
"stations",0,4
"stealing",-1,4
"stem",0,4
"strategic",0,4
"stream",0,4
"stressed",-1,4
"stuck",0,4
"studies",0,4
"studying",0,4
"subsection",0,4
"substantially",0,4
"sum",0,4
"sums",0,4
"supporter",1,4
"surprise",0,4
"teacher",0,4
"telephone",0,4
"tempting",0,4
"tens",0,4
"tesco",0,4
"thankfully",1,4
"that.i",0,4
"theory",0,4
"thoughtful",1,4
"threatened",-1,4
"thurrock",0,4
"tied",0,4
"tight",0,4
"timetabling",0,4
"timing",0,4
"tiny",0,4
"tough",-1,4
"tourism",0,4
"traditionally",0,4
"transformed",0,4
"tree",0,4
"tremendous",1,4
"tribunal",0,4
"tribunals",0,4
"trip",0,4
"typical",0,4
"ultimate",0,4
"unanimously",0,4
"undersized",0,4
"unelected",0,4
"unitary",0,4
"unpick",0,4
"unreasonable",-1,4
"unsatisfactory",-1,4
"unwilling",-1,4
"utter",0,4
"vague",-1,4
"varies",0,4
"version",0,4
"victim",-1,4
"viewed",0,4
"virtually",0,4
"voices",0,4
"voluntarily",0,4
"wasted",-1,4
"watched",0,4
"weaken",-1,4
"websites",0,4
"week's",0,4
"weight",0,4
"wellingborough",0,4
"whitehall",0,4
"wing",0,4
"witnessed",0,4
"witney",0,4
"wokingham",0,4
"worries",-1,4
"wriggle",0,4
"10,000",0,3
"16th",0,3
"17.5",0,3
"1931",0,3
"1971",0,3
"1981",0,3
"1982",0,3
"1987",0,3
"2,500",0,3
"200",0,3
"2006",0,3
"2012",0,3
"206",0,3
"20th",0,3
"21",0,3
"21st",0,3
"26",0,3
"29",0,3
"31",0,3
"32",0,3
"38",0,3
"45",0,3
"500,000",0,3
"70",0,3
"92",0,3
"absorb",0,3
"abstain",0,3
"accelerated",0,3
"accessions",0,3
"accordance",1,3
"accusation",-1,3
"accusations",-1,3
"accuse",-1,3
"acquire",0,3
"acquired",0,3
"adam",0,3
"adding",0,3
"addresses",0,3
"adequacy",0,3
"adjust",0,3
"administrative",0,3
"admitted",1,3
"advantages",1,3
"adverse",-1,3
"adversely",-1,3
"adviser",0,3
"advocated",1,3
"affection",1,3
"agri",0,3
"agriculture",0,3
"aims",0,3
"airport",0,3
"alas",-1,3
"alcohol",0,3
"alfred",0,3
"allegations",-1,3
"alleged",-1,3
"amending",0,3
"angry",-1,3
"anonymity",0,3
"answered",0,3
"anticipated",0,3
"anxieties",-1,3
"appetite",0,3
"applaud",1,3
"arcane",0,3
"architecture",0,3
"arena",0,3
"arising",0,3
"arithmetical",0,3
"arm",0,3
"arrived",0,3
"arrogance",-1,3
"articulate",0,3
"articulated",0,3
"assault",-1,3
"assaulted",-1,3
"assent",1,3
"assert",1,3
"assessed",0,3
"assistant",0,3
"assisted",1,3
"assisting",1,3
"assumed",0,3
"assuming",0,3
"assurances",1,3
"atmosphere",0,3
"atos",0,3
"atrocities",-1,3
"attacking",-1,3
"attain",1,3
"attained",1,3
"attempting",0,3
"attending",0,3
"attractive",1,3
"authorise",0,3
"authorised",0,3
"autumn",0,3
"avoidance",-1,3
"awarded",1,3
"barroso",0,3
"bars",0,3
"basel",0,3
"bbc's",0,3
"beat",0,3
"beautiful",1,3
"bedfordshire",0,3
"bedroom",0,3
"beef",0,3
"beer",0,3
"begg",0,3
"behest",0,3
"belong",0,3
"belongs",0,3
"benchmark",0,3
"benefiting",1,3
"bird",0,3
"bizarre",-1,3
"blackberry",0,3
"boom",0,3
"borders",0,3
"bother",-1,3
"bothered",-1,3
"brake",0,3
"branches",0,3
"breadth",0,3
"breaking",-1,3
"brewers",0,3
"brick",0,3
"brixton",0,3
"broader",0,3
"broke",-1,3
"buckingham",0,3
"bureaucratic",0,3
"bury",-1,3
"calculate",0,3
"calculation",0,3
"cambridgeshire",0,3
"cardiac",0,3
"career",0,3
"carlile",0,3
"carlton",0,3
"cars",0,3
"cat",0,3
"catholic",0,3
"cayman",0,3
"centres",0,3
"ceredigion",0,3
"chain",0,3
"chambers",0,3
"chaos",-1,3
"cheaper",1,3
"cheque",0,3
"chicken",0,3
"china",0,3
"circle",0,3
"civic",0,3
"civilian",1,3
"claiming",0,3
"clamping",0,3
"clarified",0,3
"classroom",0,3
"clearer",1,3
"cleethorpes",0,3
"coach",0,3
"commerce",0,3
"communicate",0,3
"compelled",0,3
"compete",0,3
"competitiveness",0,3
"competitors",0,3
"complexity",-1,3
