"id","motion_party","party","text","rating","afinn","lsd","vader"
122,"labour","conservative","While my hon Friend is talking about cynical disbelief, may I point out to him that the effect of the Government amendment to the Lords amendment is that it does not rule out private contributions as long as they are voluntary, but of course there are various ways of ensuring that one might get voluntary contributions, such as a great deal of arm twisting? Has it occurred to my hon Friend, for example, that it might be rumoured that the Government were thinking about new tax changes that would affect the industry, but of course if members of the industry were to make voluntary contributions, that might become unnecessary? Should we not therefore reconsider whether we support the Government amendment?When the programme of assistance was first announced, the Government said that they would get voluntary funding from the industry and, at that time, I asked what was meant by ""the industry"". If it means other insurance companies that may handle the pensions of individuals, such funding can be obtained only to the detriment of those who save with the people providing their personal pensions. If it means the companies that are paying for final salary schemes for their employees, such funding could be obtained only to the detriment of those companies and their employees. If the Minister means the trustees of existing pensions funds, they would be in breach of their fiduciary duty if they made contributions. The only reason why the Government have changed the wording inserted by the Lords is so that they can engage in the arm-twisting that my hon Friend the Member for Sevenoaks  has just described. It is entirely likely that that will happen. That has happened on many occasions in different instances, and we will be deluding ourselves if we do not believe that it will happen now. I urge my hon Friend the Member for Eastbourne  to reconsider his opinion. I, for one, will be voting against amendment .No.I want to vote against Government amendment .",-1,0.229,0.52,0.989
123,"labour","conservative","I notice that a note has now arrived from the Box to assist the Minister. Perhaps we might get an answer now. The Minister appears to have received it.The hon Gentleman does not know.",-1,0,1,0
124,"labour","conservative","The Secretary of State is making a very good point. It is particularly applicable to the economy of the west midlands and the black country, where manufacturing still plays a very important role. The creation of a local enterprise partnership to focus specifically on manufacturing skills will directly benefit the local economy. It would be madness to pursue the policies of the previous Government, which failed to create the private sector jobs that we need in the west midlands.",-1,0.08,0.429,0.742
125,"labour","conservative","What rights would other countries have to access the UK identity cards register if we hold information about their citizens?",-1,0,1,0
126,"conservative","conservative","I am not sure that it was totally clear what the hon Gentleman was saying. Could he possibly say it again quite briefly for the Minister?May I add a word, Sir Michael? It might be useful if the other place could consider adding the words ""the disreputable"" between ""that"" and ""conduct"" in clause 31, which would allow paragraph  to be left out completely. In effect, the condition would be: ""that the disreputable conduct warrants the loss of the person's entitlement"". That would get rid of any unnecessary excuses from any Member of the other place who might be involved. The last suggestion that I want to put in the Minister's mind, although it does not particularly follow from today's debate, is that it would seem to be a double penalty on a Member of the other place were a judge to say that an ordinary person, having been convicted of an offence, should be sentenced to nine months in jail, but that a Member of the other place be sentenced to 15 months. One needs to be aware of that possibility.After reflection, it has been thought that amendment 94 should join the next group of amendments.",-1,-0.067,-0.556,0.407
127,"labour","conservative","I was there, and I recall campaigning for a no vote and voting accordingly in the referendum. Although the right hon Member for Warley  is quite right that the then Labour Government offered us a referendum, they then campaigned against. No Bill is perfect, but the reality is this: whichever treaties we may have signed up to, each and every one would have been caught by the provisions of this Bill, thereby generating a referendum. That is a powerful procedure to put in place for the future.I certainly understand the thrust of the argument. Is it not the case that any future treaty revision will be constrained by the understanding that there would be a referendum in the United Kingdom that it would be impossible to win? Would not that, in itself, exert a powerful discipline on the development of the European Union, in that it would need to either curtail its ambition or, more importantly, make an accommodation with the British people and the British Government that was more in line with what we thought we had joined in 1975?My hon Friend will recall that we did not get a referendum on the Lisbon treaty because the House decided that we would not have one. I am entirely with him, and I much prefer in principle for decisions to be made by the House of Commons rather than the courts, but frankly, in that previous case, I have no doubt that the courts would have granted us a referendum when the House denied us one.",-1,0.083,0.4,0.978
128,"conservative","labour","I welcome my hon Friend to her new position. I am very pleased that we are taking such a strong stance on tax credits. After the Prime Minister said that he would not cut tax credits, we are seeing the most pernicious and unfair cut imposed on some of the poorest people in society. Is that not why it is right for us to stand up for them today?",-1,0,0.75,0.684
129,"conservative","conservative","I am grateful to the Minister for giving way one very last time. I am not sure that I agree with him that it is not for Parliament to decide roughly where the cap should sit, because if we set it too high it will be meaningless and if we set it too low we will drive too many people out of the loan market. What will the Minister do if the FCA pitches the cap in a different place from where the Government think it ought to be? Would he want to come back to Parliament to take another look at the situation?If the Minister had had the pleasure of sitting on the Bill Committee, he would know that I tabled an amendment to suggest we cap the market share that banks could have in certain markets. What will he do if, perhaps by 2020, we have not seen a great increase in competition and still have too few banks with too high a market share? Does he think further action by Parliament would be needed?",-1,0.26,-0.2,0.886
130,"conservative","labour","rose-My hon Friend must accept that many of us feel that this approach is simply far too radical a response in cutting the deficit; cuts of about 16 or 17 per cent. on essential services-that is what the  Financial Times has reported-will have a massive impact on the British people. Surely this is not necessary. We need to examine other ways to deal with this deficit and pay it off over a long period.The hon Gentleman keeps referring to accusations made by other people, and to reports. Is he making these very serious accusations himself? Is he suggesting that there has been some kind of interference with statistics from the Treasury or from the Office for National Statistics? If he seriously believes that, he should bring the evidence to the House.The hon Gentleman has quoted a number of people who have no doubt made statements for their own reasons, but does he accept that many other economists and financial institutions do not take the same view? For example, HSBC's global head of fixed income strategy has said that the chance of the UK's defaulting on its debt is zero. Does the hon Gentleman not accept that the repeated accusation from the Opposition Benches is ill founded, that we are at no risk of losing our triple A status, and that Britain is still very stable? Does he not accept that by continually trying to run Britain down and suggest that our economic position is worse than it is, Opposition Members are doing no service to anyone?The hon Gentleman has provided a range of quotations from different individuals and organisations, many of which were directly responsible for getting us into this mess in the first place. There is an irony in the fact that what is being said here today, and what was said on Second Reading, revolves around what the market demands, but as a result of that, ordinary people in this country will have their services slashed.The hon Gentleman referred to the Fitch report that has just been published. Does he accept that it also acknowledged that the UK has exceptional access to long-term financing and that the UK started from a lower debt base than most triple A-rated countries?I look forward to that debate. Obviously growth will be the most important thing in the coming period. We need our economy to grow again as fast as possible and in a way that maximises employment opportunities. If it is clear that the cuts in public spending are having an impact on economic growth, will the Treasury reconsider the matter?",-1,-0.081,-0.375,-0.648
131,"labour","conservative","May I give the right hon Gentleman some reassurance on two points? First, having served as the Minister responsible for human rights, I can say that it was never in the Conservative plans for a Bill of Rights to pull out of the European convention on human rights. I made that clear monthly at Justice questions. Secondly, precisely because the Council of Europe is completely independent from the EU, this is an entirely meaningless amendment.",-1,0.15,0.75,0.765
132,"conservative","labour","Will my hon Friend give me some clarification to get the facts straight? If someone who has worked all their life and paid contributions to the system tragically contracts cancer, after one year will their ESA contributions-based benefit stop?",-1,0.05,0.333,-0.551
133,"conservative","conservative","rose -The Minister rests his argument on technicalities, which no doubt the Government could sort out by tabling amendments themselves. Returning to the main point of the debate, does he agree that the noble Lord Rooker's amendment would allow this House to decide how low the threshold should be if there were a very low turnout in the referendum? In other words, if, for the sake of argument there were a 5% turnout, would the Government believe that to be sufficient? No, I do not believe they would. If it were 35%, I believe they would. What level of turnout does the Minister believe to be a reasonable level to account for ""the will of the people""? What would he view as a sensible turnout in the referendum-25% or lower?",-1,0.033,0.143,-0.653
134,"labour","conservative","I am sure that my hon Friend the Member for Aldershot  was about to cite an example that even the Minister will remember: the War Crimes Bill.",-1,-0.4,-0.333,0.153
135,"conservative","labour","Does my hon Friend agree that, as we are coming out of carers week, the Government should remember the 37% of women affected by the state pension age increase who will not be in the work force in the last years of their working lives, as the Government call it, and who have responsibilities caring for an elderly or ill relative or for their own grandchildren? They will be among those who suffer most as a result of the increase.",-1,-0.067,0.143,0.681
136,"labour","conservative","The Minister puts great stress on public safety and, of course, we share his concern that nothing must be done that would endanger the public. However, will he explain the point already raised by the hon Member for Somerton and Frome ? Why do the same considerations not apply in the case of a pub where 200 people may be watching a World cup final on a large screen? Surely, the same public safety issues would arise, yet they are not covered by the Bill.We do.",-1,0.3,0.143,0.907
137,"conservative","labour","If the hon Gentleman is right about the 1990 Act and true hybrids, which I think he is, where does he think those on the Conservative Front Bench stand in making the distinction they make? According to the briefing, which was partially quoted before, the preponderance of medical opinion appears to support all four types of admixed embryos.The hon Gentleman may be aware of the comments of the Parkinson's Disease Society, which has said: ""Although there have been some very promising developments in research using adult stem cells in some disease areas, this avenue has not yet proved fruitful for many conditions including Parkinson's."" While the hon Gentleman may wish that there were an alternative to the use of admixed embryos in every case, does he not realise that he is closing off the opportunity to cure many serious diseases such as Parkinson's?",-1,0.35,0.333,0.919
138,"labour","conservative","Does the Minister really think that the Bill is indispensable for enlargement? From my experience of the Community, it seems to me that it would be perfectly possible to convene an intergovernmental conference tomorrow in Brussels to discuss enlargement issues in the Nice treaty that are completely uncontroversial and without any need to ratify the treaty itself. One could have such a conference tomorrow and get on with enlargement.",-1,0.6,1,0.791
139,"labour","labour","May I press the Secretary of State a little harder on community involvement in the regional strategy? She gave my hon Friend the Member for Stroud  reassuring answers about community involvement. Indeed, clause 72 provides that a statement on community involvement should be prepared and published. However, can it be right to leave the decision about who should be consulted to the RDAs and the local authority leaders' boards? How can we ensure that those who have economic, social or environmental stakeholding responsibilities are genuinely and actively involved with the communities in which they are rooted? That is a significant concern that people in North-West Leicestershire have about the Bill. They are worried that community involvement is not spelled out, but left to the discretion of unelected bodies, which will perhaps fulfil the responsibility in a rather token way.",-1,0.057,0.538,0.738
140,"conservative","labour","Does my right hon Friend agree that one of this Government's great successes has been their suicide prevention strategy, which has cut suicides in England to the lowest level since 1863? Unfortunately, the strategy is due to end in 2010. Will he assure me that the focus will not be removed from suicide prevention and that we will continue to put it at the forefront of our mental health strategy?I thank my right hon Friend for giving way. One of the big problems for people with Parkinson's disease is simple to address. When they are required to go to hospital, they should have access to the same medication that they were taking at home, at the same time as they took it at home. All too often, however, their health deteriorates in hospital because they have to fit in with the nurse's medication rounds, rather than getting medication as and when they need it. Is there any way in which that can be addressed in the current review?",-1,0,0.333,0.799
141,"labour","conservative","I am sure that the hon Lady knows that the situation she has just described in which youths place an order with a dealer and then distribute the substance among their friends is entirely consistent with the law as set out in the Misuse of Drugs Act 1971. The message is that if you buy the drug and then distribute it, you are a supplier in the eyes of the law. I would be interested to know why she thinks there should be a distinction between these substances and the more serious drugs that are dealt with under the 1971 Act. Surely we are still trying to achieve the same aim: to stop the supply of harmful substances.Surely the point is to introduce clarity to the young people that the hon Lady is describing. Ecstasy is a class A drug, and if a young person buys it, they risk going to prison for a very long time if they are prosecuted and convicted. If a young person buys one of these new psychoactive substances that is minimally different from MDMA, and the dealers get round the problem by saying that it is just a little bit different from ecstasy and therefore does not fall under the 1971 Act, that young person could be placed in a very difficult position. They would have to be a scientist to know the difference between the two substances. My question is: should we not be encouraging clarity to distinguish between those drugs, to enable young people to know that they should not be buying those substances and distributing them?",-1,-0.12,-0.273,0.291
142,"labour","conservative","I have been a long-standing supporter of referendums and the role that they can play in strengthening our democracy. My first role in politics was campaigning for the Referendum party, way back in 1997, in favour of a referendum on the euro. The reason why I think that referendums really can work is that they bring some brutal common sense from the British public to complicated debates. They are also cross-party campaigns. I remember campaigning against the euro-it is great to see the hon Members for Luton North  and for Great Grimsby  in their places-and that was a cross-party campaign. That can be incredibly important for our democracy. It is good for the public to see politicians from different parties working together on issues where they have a shared conviction, rather than simply campaigning across party lines. For that reason, referendums can be incredibly important. It is also important to note that referendums are about issues rather than personalities. We hear a lot of people complain these days about personality politics and the presidential nature of certain elections where it is all about the tie or the suit that the politician is wearing, rather than the issues that they stand for. Referendums cut right through that. They are about the issue, and people focus on that issue rather than on politicians. For all those reasons, I think that referendums have an incredibly important role to play in strengthening our democracy, and I welcome this step forward. I listened intently to Opposition Members' contributions about their new clause 9. I was struck by the comment from the hon Member for Llanelli  that there was referendum fatigue. Well, the last referendum we had on Europe was in 1975, when I was about four years old, so there is hardly fatigue with European referendums. In fact, the situation is completely the reverse. The opinion polls were clear: the public wanted to have their say on the Lisbon treaty, the euro, the constitution and all the major treaties that went through, but they were denied that say. I take issue with the hon Member for Caerphilly , who claimed that the EU is well down people's list of priorities and that we should therefore not have a referendum on EU issues, because what really motivates people are issues such as education and the economy. He is absolutely right that the EU is very low down the list of things influencing people's voting intentions in a general election: polls show that it is around 12th or 14th in people's lists of priorities. However, that is exactly why we must have referendums on such constitutionally important issues. People do not hold Governments to account on such issues at the ballot box, because there are bigger issues at the forefront of their minds. However, as the hon Member for Luton North made clear, that does not mean that such issues are unimportant. They are vital constitutional issues that have a knock-on effect on a range of policies. The only way to get public discussion and engagement with European issues is through a referendum. We would then get a discussion that simply would not happen in a general election. A lot has been said about the problem of binding future Parliaments, and about how having such referendums would be unconstitutional. However, that misses a crucial point. The fact is that ever since the European Communities Act 1972, Parliaments have indeed been bound. There has been an open door for encroachment by the EU into the UK's legal system. That is why we need to rebalance the position. We need a bulwark against the 1972 Act and those Acts that followed it. We need something that will act as a break. I do not think that what is proposed would weaken Parliament; rather, it would strengthen it, bringing it much closer to the people whom Parliament should represent and dealing with the problem caused by the 1972 Act. I also disagree with those who say that people do not understand or that the public are too ignorant to deal with such issues. There is no evidence of that. If we had a referendum on such issues, both campaigns would need to distil the arguments down into a clear set of messages, but sometimes that is what is needed.Yes, my hon Friend is absolutely right.I give credit to the Labour Government of some 35 years ago for giving us that one and only referendum.I am grateful to my hon Friend for raising that issue, and I completely agree with him. I know that some on the Government Benches are concerned that the Bill does not go far enough and that there may be ways for future Governments to circumvent its provisions. However, as someone who has been a staunch Eurosceptic for 13 years, I have to say that we have waited a long time for such legislation. I believe that the Bill offers an incredibly strong lock, which will apply to any transfers of power. Indeed, clause 4 gives a list of no less than 13 circumstances in which a referendum would automatically be triggered. It is important that people recognise that and, on this side of the Committee, realise that the glass is not half-empty; rather, in my view, it is almost full to the brim. Of course there are areas where one might say the Bill could be improved, but it is fundamentally an incredibly good Bill that we should be getting behind.No, I personally do not agree with that, and there is a good reason why. What the Bill should aim to do is prevent the handing over of power from this country to the European Union. I want sovereignty for this Parliament; I do not want this Parliament to interfere in the decisions of other countries. However, once we start saying that we should have a veto on the accession of countries such as Turkey, we start to get into that territory.Because rather than allowing such countries to join-and we have already expanded the number of countries in the European Union-we would then be saying that every country should have a veto on future accessions. I do not think that that is right. Let me also just say that Turkey is a moderate, Muslim country, and a great example of a successful secular democracy, which we should be supporting and encouraging, rather than sending signals that suggest that we are against accession. As I have said, I have campaigned for referendums for a long time. In my time campaigning against European integration, it is fair to say that I have seen a lot of referendums promised and then subsequently taken away.It depends: if there was an extension of competences, then yes, of course. Coming back to the areas where those now on the Opposition Benches have promised referendums, we have to look at what drives first the promise of a referendum and then the withdrawal of that promise. Back in 1997, the only reason this country was promised a referendum on the euro was that the Referendum party stood for election, posing a threat to the then Conservative Government and the Labour party. For that reason, both parties promised a referendum. As it turned out, that promise was the only thing that kept this country out of the euro. What did we have after 1997, in the first few years of the Labour Government? We had years and years of speculation about whether there would be a referendum. I can remember working on the anti-euro campaign and looking at what the media were saying. There were dozens and dozens of stories-we added them up-that opened with the line, ""In the strongest signal yet that Britain is going to join the euro, Tony Blair has signalled that a referendum is just round the corner."" Let us remember all the acres of coverage and the huge sum of money that was spent analysing those five so-called tests, when all along they were simply a political fig leaf. Then we had the European constitution. A referendum on it was promised, but for no other reason than the political interests of the Labour party. Labour was concerned about the threat to its position in the 2004 Euro-elections, and for that reason-that is, simply for tactical, self-interested reasons-promised a referendum out of the blue. Having got those elections out of the way and having won in 2005, Labour then withdrew the offer of a referendum on the EU constitution and the Lisbon treaty. We were then subjected to a further couple of years of endless talk about Tony Blair's red lines and what the Government were doing to protect the national interest, with endless speeches trying to explain why the Lisbon treaty was not the same as the EU constitution, when to all intents and purposes it was. Throughout all that, the decision on whether to hold a referendum on those issues was dictated by political interest and calculation, and we need to move on from that. Countries such as Ireland have done this much better than we have. How sad it is that, all too often, we have had to rely on the people of the Irish Republic to stand up for the interests of European people. Why have we not been able to hold referendums as automatically as they have been held in Ireland?I am not sure that I understand the hon Gentleman's point. If any major transfer of power from the UK Parliament to the EU were proposed, a referendum would automatically be triggered.My hon Friend makes a valid point. Having this legislation in place will change the nature of the pressure on the Government and influence their negotiating position. I want to talk about the concerns that have been expressed about the ""significance"" clause. I recognise the argument of those who suspect that it might give Governments a way out, so that they could backslide away from a promise to hold a referendum in certain circumstances. I do not buy into that idea, however. I agree with what Martin Howe, QC, a distinguished Eurosceptic, has said on this. He has spent years studying these issues. If we want to make this legislation durable, and if we want it to last more than five years and to become an established convention, we need to ensure that there are no excuses that a future Government of a different party might be able to use to repeal it. There is a presumption that holding lots of referendums on very small, insignificant issues would give our opponents an excuse to repeal it, and we really cannot accept that.If there were fatigue because we were holding too many referendums, that would mean that we had been attempting to pass too much power to the European Union. I hope that the requirement to gain public consent for handing any such powers to the European Union will dissuade Governments from recklessly throwing away the power of this House. There is a lot to commend amendment 11, and I have listened with great interest to the debates on it today. It is far superior to new clause 9, in that it does not attempt to water down the pledge; it provides it with an extra belt and braces. It would apply only when a Minister judged that a change was not significant. When such a judgment was made, Members of Parliament would have to support it. That proposal has a lot going for it. It would strengthen the presumption in favour of holding referendums. For all those reasons, I am quite attracted to the amendment. I listened carefully to what my hon Friend the Member for North East Somerset  said earlier about the fact that the proposal might make it less easy to have a judicial review. He suggested that a motion in the House might undermine the chances of a judicial review. That was a valid point. I was not convinced, however, by the argument that a better way to deliver this would be to table an amendment to the Act of Parliament that would be required in relation to the referendum. We all know what happens to the majority of amendments that are tabled in the House. We have only to look at the amendments tabled to this Bill to understand that. The immediacy of the proposed motion, linked to a statement by a Minister, has a lot going for it. Having said that, I also understand the counter-arguments regarding judicial review. The Bill does exactly what Eurosceptics have wanted for a very long time, and we should stand behind it all the way. I completely reject new clause 9, because it is an almost weasely way of getting round the purpose of the Bill. It would significantly water it down, taking power away from the voters and giving it to politicians. The idea that some committee of 19 people should be the arbiter of these matters rather than having an automatic trigger for a referendum is absolutely crazy. I completely reject the new clause, but I believe that amendment 11 has a lot going for it.",-1,0.152,0.092,1
143,"labour","conservative","Does my hon Friend agree that we would not be in this situation, or have to have this conversation, if it had not been for the delay imposed by the previous Government?Many Members have talked about the moral imperative behind sorting out the situation, but does my hon Friend agree that moral intervention requires practical Government action, which is what we are seeing today?",-1,0,0.75,0.874
144,"conservative","labour","On a point of order, Mr. Deputy Speaker. I wonder whether there is anything that Mr. Speaker's good offices could do to prevent a disgraceful situation whereby the amount of time available to Back-Bench Members is likely to be reduced to about 20 minutes if we are lucky?",-1,0.333,0.333,0.7
145,"conservative","labour","On the basis of what my right hon Friend has just said, with which I very much agree, can she confirm that the Labour Front Bench will vote against the Bill tonight?",-1,0.2,0.6,0.717
146,"labour","conservative","The shadow Minister seems to be making a strong argument for reintroducing special schools, which is the opposite of the policy of the previous Government.What does the hon Lady believe to be the underlying level of SEN in the pupil population?I must agree with my hon Friend the Member for Bristol North West , because on Friday I had a meeting with two teachers, both of whom have children with special educational needs, and they are very keen to set up a free school to provide for children with such needs. Such a school would help not only their children, but others in the local area. So this situation is not uncommon.Does my hon Friend agree that pupils with special educational needs are very vulnerable to disruption, and that little is more disruptive than moving school? In my constituency, we have a three-tier education system, which adds an extra complication for all pupils, especially those with special educational needs because they have to move again at 14. I would like that to be reduced to a two-tier system. I hope that the Minister will pay attention to those concerns.",-1,0.083,0.44,0.973
147,"conservative","labour","Thank you, Mr Speaker, and I am grateful to the Minister for giving way. I have another tale of woe. There have been approximately 12 burglaries in the past 10 days in the Saddleworth villages of Greenfield and Uppermill, and I have some very worried constituents. I totally agree with my hon Friends: we cannot possibly say that there is no link between such events and the front-line cuts to staff in the Greater Manchester police, which were also mentioned by my hon Friend the Member for Denton and Reddish . What can the Minister say to my many constituents who have contacted me to say that they are very concerned about their safety? Surely this must be a priority for him.My hon Friend might have heard me ask the Minister to comment on burglaries in Saddleworth, in which there has been almost a 50% increase. Does he wish to comment on what the Minister said? Greater Manchester police have just confirmed that there has been a reduction of 2,000 front-line posts.",-1,0.182,0.231,0.976
148,"labour","conservative","I have had representations from a senior manager in the health service who tells me that prison hospitals will be the responsibility of the health service and not the Prison Service, yet she cannot get changes made in prisons and keeps warning the service about that. If death in custody extends to the health service, those involved could be charged when the fault lies with the Prison Service, which has responsibility.",-1,-0.371,-0.556,-0.943
149,"conservative","labour","Does the right hon Gentleman agree that one of the ways we can protect ourselves and our staff and visitors is by engaging with the fire safety training module on the intranet? It is good for us, our staff and our visitors, but fewer than 20% of Members undertake the training.",-1,0.16,1,0.66
150,"labour","conservative","When Members say that they support legislation, it does not mean that they support every dot and comma in the Government's proposals. If the Conservative party did not vote against a Bill on Second Reading, Third Reading or in another place, but simply wished to scrutinise it, to improve it and propose amendments that affected only small parts of it, it is entirely right for my right hon Friend the Member for Chingford and Woodford Green  to say that we supported it. That has always been the practice of the House in such matters.",-1,0.267,0.556,0.931
151,"conservative","labour","South Derbyshire had eight foot and mouth cases earlier this year. Restrictions have only recently been lifted. Indeed, the footpath that runs across my property has only just opened to walkers. The outbreak had a profound impact on the rural economy and the life style in a large part of my constituency. The outbreak clearly exposed the extremely poor preparation that the Ministry of Agriculture, Fisheries and Food had in place to deal with such a disaster. It would not be reasonable to retort that it could hardly have predicted a disaster on that scale, because we had experienced foot and mouth before. Although a substantial report was written about the last outbreak, the Ministry was, sadly, unprepared for the process that lay ahead. It showed a poor initial grasp of the scale of the crisis and did not bring to bear all the resources that could have been available to control it early enough. Members of the Select Committee on Agriculture in the previous Parliament had the opportunity to question scientific advisers on the management of the disease and their advice about it. I was surprised at the time that elapsed before the key scientific minds who could forecast the path of the disease were engaged in the task. There are clearly some substantial issues to address and I welcome the fact that there will be a full inquiry into the origins of the outbreak and its handling. I shall want to see what can be learned, and, to be fair, where the criticism should be directed. One small silver lining was that my constituency received a visit from the Prime Minister. Three farmers in my area, the Archer family--there are Archer family farms in South Derbyshire as well as on the radio programme--the Salts and the Smiths, all had the opportunity to express their views about the way in which the disease had been handled. They complimented the Ministry on some aspects of its handling of the matter locally, as well as handing out some brickbats regarding delayed payments and later, after the outbreak, confusions that had arisen in relation to blood tests, to which my hon Friend the Member for Dumfries  referred. Such tests were a necessary part of clearing the disease from our area but were handled slowly, with several mistakes being made. In many ways the exercise was a test of how public services work in extremis, which brings me to public services in general and how they may be improved--matters which are questioned in the Opposition's amendment. The focus of the Queen's Speech was correctly on the delivery of public service commitments, and that was the focus of the message given to me by my constituents in South Derbyshire during the election campaign. They expect to see more commitments and they expect them to be delivered more quickly. My task in this Parliament is essentially to help to ensure that that comes about. Listening to the Queen's Speech and examining in more detail some of the tasks that lie ahead, I had some doubts about how easy some of those changes would be. With regard to NHS reforms, we must recognise that centrally set targets and government by directive have rightly been questioned as the correct way to deliver improvements. They have been shown to be inefficient and demotivating to key workers within that core service. I regularly meet health service professionals who, while recognising the extra resources which they are starting to see reach front-line services, bitterly resent being told precisely how to spend money and being set targets which they do not regard as the most relevant for their area. We must allow greater discretion for quality services to be established in a local area on the basis of the judgment of local management. Peeling away some of the layers of NHS management appears to be necessary, but we must recognise that the long drawn-out processes that usually follow understandably absorb far too much of the time and energy of many key managers. That means that the deconstruction of regional health authorities and the health authorities that currently continue to manage many of the financial issues in the health service, and the transfer of those tasks to primary care groups and then to primary care trusts, is a process that will naturally absorb a great deal of energy which perhaps could be devoted to improving public services rather more rapidly. One must also question whether transferring complex negotiations and the management of complex services to primary care trusts, which are, as yet, nascent bodies of limited experience in delivering such key decisions, is a task that will be achieved without significant error and delay. We need robust processes that will transfer responsibilities rapidly, but we must also be aware that one of the goals is to make savings. Most of those working in the health service are cynical about the savings it is claimed can be made from the reduction of large bureaucracies. My experience of working in the private sector for a large public company suggests that all large bureaucracies tend to behave like primitive organisms: when a limb is severed at one point, a replacement grows elsewhere in the organism, sometimes at rather greater cost and inefficiency. Flatter management, while a laudable goal, cannot be achieved painlessly or without extremely skilled management. Given that it does not appear that such experience can be found within many of the public service bodies and Ministries that will be managing the process, one has to voice some concern about that change. We must re-engineer the way in which we deliver our services. Some useful innovations have already been made, for example, the ONE service in delivering benefits and employment support. However, many parts of our public services continue to operate within the confines of byzantine procedures. We have repeatedly failed to integrate the use of information technology into modern public service. When I visited a hospital just outside my area, I was shown software that was, it was claimed, on the leading edge; but five years ago in my own business, I would have regarded it as the most basic of database tools. That gives some measure of how slowly IT has been absorbed into a key public service. I noted the gentle reproof from our e-envoy regarding using high-level targets for public access to IT instead of focusing on the big issue of transforming key public services through the use of IT. In education, while commending the development of specialist schools, I would argue that we need to strengthen networks between local schools. To give a local example, I cannot understand why in Swadlincote, a town in my constituency with three secondary comprehensives but only one sixth form, allowing competitive specialties would be harmful. To return to the putative subject of today's debate--the establishment of the new Department--we must review the top management of our public service. The new Department must break the cracked mould of the Ministry of Agriculture, Fisheries and Food: it will be alarming if the new adopts the culture and leadership of the old. Our rural economy needs new strategies based on markets, customers, quality and environment, not on the legacy of the previous Ministry.",-1,0.102,0.242,0.996
152,"conservative","labour","rose-I am most grateful to the right hon Gentleman. In view of what he has said about the possibility of there not being a vote on the issue today, let me flag up an issue that I have flagged up previously, about the Environmental Audit Committee. Just for the record, it was originally set up along the lines of the Public Accounts Committee, which has 16 members, on account of there being a Finance Minister and shadow Ministers among its members. However, in practice, it has not been easy on some occasions to achieve a quorum on the Environmental Audit Committee from among its 16 members. I would therefore be most grateful if the right hon Gentleman could give some consideration to the numbers on the Environmental Audit Committee and come back to the House at an appropriate time.",-1,0.467,0.75,0.635
153,"conservative","labour","Is the right hon Gentleman aware that countries such as Spain and Italy have their own smuggling problems despite having considerably less excise duty on their tobacco products than we do? Is not the logic of his point that combating the problem would mean the complete removal of excise duty? Is that what he really proposes?I was trying to make the point that their problem with smuggled tobacco goes well beyond the EU. That tobacco is also coming into this country. Logically, combating the price differential would require removing excise duty altogether. Is the right hon Gentleman seriously proposing that?Is the hon Gentleman aware that the Canadian experience revealed exactly the same effect? By cutting duty, Canada has forgone revenue on tobacco.",-1,-0.35,-0.091,-0.929
154,"labour","conservative","Further the intervention made by my hon Friend the Member for South West Wiltshire , my constituency neighbour, I, too, met Wiltshire College last week, and it is eager to take on nursing apprenticeships. The college shows we can get past the few roadblocks, because it is already affiliated with universities in offering degrees. That is one way in which we can look positively at increasing the number of apprenticeships, rather than looking at it negatively, as we hear from the Opposition.",-1,0.4,0,0.856
155,"conservative","labour","What is yours?",-1,0,0,0
156,"conservative","labour","Last week in business questions, the Leader of the House said that on Wednesday next week there would be a Second Reading of ""a Bill"", demonstrating some indecision on the part of the Government. Does my right hon Friend agree that that shows that the excuse that the Leader of the House has just given to Members from Scotland and Northern Ireland about avoiding a Thursday is paltry, because the Government could have scheduled the debate for Wednesday next week?I thank my right hon Friend for giving way. I agree entirely with my right hon Friend the Member for Salford and Eccles , who expressed the concern that she has many potentially disadvantaged students in her constituency; I do too, and I should like to have the time to represent their concerns tomorrow. Does my right hon Friend agree that the Leader of the House was disingenuous in suggesting that we had sufficient time-I apologise to the Leader of the House. He said only moments ago that we had sufficient time to debate these issues in the Opposition day debate, but does my right hon Friend agree that, as the Government made a statement on that day, tomorrow will be the second time they have tried to curtail the time allowed to debate this issue?",-1,0.089,0.379,0.963
157,"labour","labour","Workers in my constituency who lost out because of the collapse of the Richards pension fund were also pictured celebrating, on the front page of my local evening newspaper. This is a major breakthrough and the Government deserve to be congratulated on it.",-1,0.05,0.429,-0.202
