"id","text","rating","afinn","lsd","vader"
275,"RT @MonsterandBoy: I think the candidates are afraid of debating education with a Monster! ","Negative",-0.4,-1,0
276,"RT @Disruptepreneur: Wow. My primary source of entertainment for the next six months has been cemented. ","Positive",0.8,1,0.765
277,"RT @benshapiro: $1,000 says CNN will not question Democratic candidates this way. #GOPDebate","Neutral",0,0,0
278,"RT @DaTechGuyblog: Is it jut me or is @tedcruz playing 3D chess in a room full of checkers players?  ","Neutral",0,0,0.202
279,"On ","Neutral",0,0,0
280,"@whitemamba23 100%!!! Hilary hanging with Kimye and Trump is dead center at #GOPDebates but a 3rd party is ""stupid""??","Negative",-0.5,-1,-0.713
281,"Where can I watch the ","Positive",0,0,0
282,"blahahaha, the fix is on on the democrats side even bigger . Hillary is the democrat's ""Bob Dole""
#GOPDebate 
#Democrat","Negative",0,0,0
283,"RT @Andrew_Marcinko: Here's a FB photo of the guy who asked whether the candidates had spoken to God at ","Negative",0.2,0,0.273
284,"This is so f*%king entertaining it should be ILLEGAL! ","Negative",-0.1,0,-0.35
285,""".@FoxNews: Opinion: Trump loses #GOPDebate but Rubio, Cruz and others triumph via @lizpeek http://t.co/q13VkuLP3r http://t.co/qoCnOIxEdN""","Negative",0.8,0,0.542
286,"Morrissey foreshadowed the character of the #GOPDebates: ""If it's not love, then it's the bomb that will bring us together.""","Neutral",0.2,-1,-0.763
287,"RT @auxty: cmon ","Neutral",0,0,0
288,"Walker answering on Iran. First straighten out our Brewers. ","Negative",0,1,0
289,"This was indeed one of Jeb's more curious statements last night. ","Neutral",0.2,1,0.38
290,"Politics Nerd Moment: On vacation. Lost my chill when I looked up @ the bar TV to see I was missing the ","Positive",-0.5,-1,-0.691
291,"RT @Wolfofwarrenst: Just in case you missed the ","Negative",-0.4,0,-0.296
292,"RT @ggfletcher: Trump's big beautiful door: ","Positive",0.4,1,0.599
293,"RT @prophiphop: Last night was like oh ","Neutral",0.4,1,0.361
294,"RT @TPM: In press release, Donald Trump crowns self winner of #GOPDebate. Unsurprisingly. http://t.co/kQCbcKBjkI http://t.co/c6QMAgEvF3","Neutral",0.8,0.333,0.586
295,"Just watched the #GOPDebate. Some strong candidates, but no clear winner. Will be interesting to see who wins the #TrumpvsFoxNews feud.","Negative",0.4,0.6,0.194
296,"RT @ThatChrisGore: Ted Cruz's mutant superpower is fear-mongering. ","Negative",0,0,0
297,"After the undercard debates I'd say only two should stay in the race are:  Carly Fiorina and Bobby Jindal.  ","Positive",0,0,0
298,"RT @DaTechGuyblog: Advice to each GOP candidate in order of how I think they finished 10th place Jeb Bush Get a pulse in a hurry ","Neutral",0,0,0
299,"RT @mercedesschlapp: In terms of substance, @JebBush dominates #GOPdebates","Positive",0,0,0.052
300,"@FreeAmerican100 @LibertarianWing @RandPaul @RonPaul ","Negative",0,0,0
301,"RT @Daenerys: Listening to the ","Negative",0,0,0
302,"Working on a huge #GOPDebate social data story. Some interesting trends, such as Trump not having the most tweeted-about moment last night.","Negative",0.3,1,0.612
303,"S/O to ","Negative",0,0,0
304,"@sallykohn @megynkelly Megyn you are now officially charted on the Moonbat Hit Parade.  
#MegynKelly #GOPDebate","Positive",0,0,0
305,"I was a little disappointed in the #GOPDebate last night, was expecting President Camacho to make an appearance. http://t.co/tMJiL45Dxp","Neutral",-0.4,-1,-0.423
306,"Charlie how did ","Negative",0,0,0
307,"RT @fieldnegro: The happiest person in America today after watching those debates is HRC. ","Negative",0,1,0.637
308,"It's way more fun being in America watching the ","Positive",0.8,1,0.556
309,"@NPR and I'm sure Immigrant Song came up ","Positive",0,0,0.318
310,"#Trump2016 #GOPDebate The Illuminati want him out, but he will win the same http://t.co/2kVlxWB9Kd http://t.co/zyCvnY4NOq","Positive",0.5,1,0.747
311,".@megynkelly Megyn Candy Crowley Kelly. Enough said. ","Neutral",0,0,0
312,"#GOPDebate: a lesson for coming months: quality and not quantity in words &amp; time for tangible and believable propsals
http://t.co/YHvNoEinyi","Negative",0,1,0
313,"","Neutral",0,0,0
314,"Ended up last night at the Renaissance with some of the RNC at a private event. One way to end the night! ","Neutral",0,0,0
315,"RT @b140_tweet: Does this remind  you of ","Positive",0,0,0
316,"As usual, @Peggynoonannyc very insightful on the #GOPDebate candidates: http://t.co/4yp5VfABjq","Positive",0,0,0
317,"Trump did fine in the #GOPDebate. Not spectacular, but good enough. It's in the post-debate he's killing himself.","Negative",0.133,-0.333,-0.869
318,"""Miss the #GOPDebate? Here are the highlights, in 60 seconds--WATCH: http://t.co/yNNabR9pqQ http://t.co/WRRgMtvyOz""","Neutral",-0.4,0,-0.153
319,"#GOPDebate Winners yesterday: Carly, Ben Carson, Marco Rubio, and, sadly, big gov't Mike Huckabee. Can Carly knock Christie off the stage?","Negative",-0.1,-0.333,0.077
320,"RT @SupermanHotMale: And the winner is... The Koch Brothers ","Positive",0.8,1,0.586
321,"Huckabee plays bass right? He must play a Steinberger. I just know it. ","Positive",0,1,0.527
322,"@ScottWalker It's not about ""proper training"". It's about ""proper upbringing.""   #GOPDebate #GOPDebates @megynkelly #FOP #ThinBlueLine","Neutral",0,1,0
323,"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP","Neutral",-0.6,-1,-0.691
324,"Mr Trump's questions were NO tougher than anyone else's. When you get center stage you gotta be able to take the heat. ","Negative",-0.2,-1,-0.307
325,"Contrary to Trump's views, the FOX News debate moderators were on brilliant form last night. #gopdebate","Negative",0.8,0,0.586
326,"Cruz' closing statement may have sounded like it came from a meat market, but HUGE difference is that Cruz would actually do it. #GOPDebate","Positive",0.3,1,0.7
327,"RT @SBSwenson: The truth will set us free! Donald Trump made one shockingly insightful comment re money ","Neutral",0.2,1,0.636
328,"@marcorubio's ears are freakishly huge. ","Neutral",0.2,-1,0.128
329,"He's a great business man, but would Donald Trump make a good President? #donaldtrump #trump #gopdebate... http://t.co/tByO1WWvIs","Negative",0.6,1,0.751
330,"RT @comcatholicgrl: @marcorubio slaying ","Positive",0,-1,0
331,"As far as individual performances at ","Neutral",0,0,0
332,"RT @ericstonestreet: Trump has Cam hands. ","Negative",0,0,0
333,"RT @jjosephwilliams: 16% of United States homes with TV sets tuned in to ","Positive",0.2,1,0.421
334,"True https://t.co/lciPAyBJZ9 ","Negative",0.4,1,0.421
335,"RT @RWSurferGirl: So @megynkelly posed for adult pictures.should we bring that up? ","Neutral",0,0,0
336,"FEEL THE BERN @SenSanders : ) ","Positive",0,0,0
337,"Trump gave to many politicians because they system is broken.  He is telling us how it works and says it is wrong.  ","Neutral",-0.3,-1,-0.735
338,"RT @Karatloz: you're playing as Yoshi but you're made out of yarn, the whole world is made out of yarn #GOPDebates","Negative",0,0,0.103
339,"RT @monaeltahawy: TwitterLand: has God spoken to you about the ","Neutral",0.2,0,0.273
340,"A nice look at yesterday debate ""A Foxy, Rowdy Republican Debate"" #GOPDebate #FoxNews http://t.co/rF40CcI35x","Neutral",0.6,1,0.421
341,"GOP Debate News - Trump Shocks GOP Faithful http://t.co/H5XBIbvgST  ","Negative",0.1,0,0.077
342,"RT @Popehat: #GOPDebates Paul: ""I want to collect more records from terrorists and fewer from Americans.""","Negative",0.2,-1,-0.62
343,"RT @WashInformer: Rand Paul - You do not project power from bankruptcy court ","Neutral",0,-1,0
344,"Shout out to the white people cheering Huckabee :) ","Neutral",0.4,1,0.743
345,"Watching the ","Neutral",0,0,0
346,"I just heard Megyn Kelly's question to Trump! His comeback w Rosie O'Donnell was appalling but predictable! ","Neutral",-0.4,0,-0.326
347,"That Bruce @springsteen performance on The @TheDailyShow topped anything the ","Neutral",0,0,0
348,"#FOXNEWS  right for a Change: #GOPdebates

THey ALL did well.  Each had their Moments.   REFRESHING  PHILOSOPHIES &amp; PLANS for AMERICA","Neutral",0,1,0.273
349,"RT @TexasCruzn: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/1z3VuFjZlw""","Neutral",0.4,1,0.382
350,"Does Marco Rubio wear Invisalign? ","Negative",0,0,0
351,"""Raise your hand if you have ever been personally victimized by Regina George""
#GOPDebates http://t.co/L0QdV4Qmth","Neutral",-0.6,-1,0.103
352,"If @JohnKasich hasn't wrapped up the mailman vote by the end of this debate, he ought to drop out. #GOPdebates #LZDebates","Neutral",-0.2,0,-0.273
353,"RT @ericstonestreet: Trump has Cam hands. ","Negative",0,0,0
354,"Montel Williams Just Endorsed John Kasich For President.
#GOPDebate http://t.co/eZ9yL3UXXs","Positive",0.4,0,0.25
355,"Yay! We made it  
Happy Friday Folks!
Enjoy your weekend!
#POTUS #GOPDebate #GOP 
#HillaryClinton ROCKS! http://t.co/mzc49JrkQ8","Neutral",0.5,1,0.909
356,"Jeb: My father was...OH NEVERMIND. Parenting is so overrated. ","Negative",0,0,0
357,"Omg!!! Favorite thing. ","Positive",0.4,1,0.596
358,"RT @FoxNewsMom: I'm psychic.

#GOPDebates http://t.co/WxAF0QVhI5","Negative",0,0,0
359,"RT @mozgovaya: 10 men on stage discussing one woman. @HillaryClinton ","Positive",0,0,0
360,"Clear winner from last nights ","Positive",0.5,1,0.751
361,"Chase A Norton wants to know if you have received a word from God to vote for @NYCityCountry in the ","Negative",0.2,-1,0.273
362,"#GOPDebate One critique: Not a debate as much as a ""get to know your candidates."" One Q per all the big problems in the world. Dissatisfying","Neutral",-0.1,-1,-0.727
363,"RT @kavithadavidson: I will totally stay tuned for god, Megyn. #GOPDebate","Positive",0.2,0,0.273
364,"""I defunded Planned Parenthood. I created a culture of life."" PP = healthier people, parents &amp; babies &amp; LOWERS no. of abortions. #GOPDebates","Positive",-0.2,1,-0.347
365,"RT @OhNoSheTwitnt: Every time a GOP candidate mentions Hillary a woman receives free birth control. ","Neutral",0.2,1,0.511
366,"I was RIGHT! I should be an independent political strategist! ","Neutral",0,1,0
367,"As Canadian leaders debated, Trump was producing the wildest show in politics http://t.co/MejxXpzG1V #US #USA #USpoli #GOP #GOPdebate","Negative",0,0,0
368,"""We don't win anymore.  We lose to China.  We lose to Mexico.  We lose to everybody."" -Trump

Preach it, sir, preach it! #GOPDebate","Positive",0.8,-0.5,-0.888
369,"He's going independent you watch. Lol ","Neutral",0.6,0,0.519
370,"RT @mozgovaya: 10 men on stage discussing one woman. @HillaryClinton ","Negative",0,0,0
371,"RT @OhNoSheTwitnt: Can't wait to see which Lannister they kill off in the next episode of ","Neutral",-0.6,-1,-0.691
372,"RT @nerdist: I gotta say it's refreshing to hear a presidential debate where everyone is correctly pronouncing ""nuclear"" #GOPDebate","Negative",0,1,0
373,"","Negative",0,0,0
374,"RT @dhniels: You know who @ChrisChristie was giving hugs to? THE FAMILIES OF PEARL HARBOR VICTIMS ","Negative",-0.1,0,0.375
375,"RT @PennBat: ""We fought the teachers union""--.@ChrisChristie ...and how did that improve New Jersey schools? #BATsAsk #GOPDebate .@NJBatsa","Negative",0.4,0,0.153
376,"RT @Jackie_Pepper: ","Negative",0,0,0
377,"Will @megynkelly Ever Ask @Rosie to Apologize for Her Foul, Abusive, Ugly Attacks on @realDonaldTrump? http://t.co/zyCg0ixWrU #GOPdebate","Neutral",-0.4,-0.6,-0.875
378,"RT @Joy__Hart: The morning Joe crowd is giving Fiorina a false sense of intelligence. She is Sarah Palin with lighter hair ","Negative",0,0.333,0.67
379,"Bernie Sanders is a fucking national treasure.

@BernieSanders 
#FeelTheBern 
#GOPDebate 
#JonStewart 
#DonaldTrump 
#Bernie2016 
#Democrat","Positive",-0.2,0,0.357
380,"RT @LindaSuhler: Jeb Stands By ""Act of Love""; Comments and Earned Legal Status [BOO]
#NoAmnesty
http://t.co/hImScrVikr
#GOPDebates","Neutral",0.4,0,0.691
381,"RT @TPEquality: Gay rights opponent Rick Santorum says during ","Negative",0,0,0
382,"Those following the ","Neutral",0,0,0
383,"Let's change the racist usage of the word articulate to describe Republicans who are well spoken. ","Negative",-0.6,0,-0.44
384,"RT @NYCdeb8tr: @redsteeze @dalestokely Megyn Kelly was so over the top, I thought she would announce her candidacy last night. #GOPDebates","Neutral",0.4,0,0.265
385,"Donald Trump &amp; Hillary Clinton deserve each other. I guess if the parties nominate these 2 phonies then America deserves them too ","Neutral",0,0.333,0.402
386,"Thinking about getting tickets to next month's ","Neutral",0,0,0
387,"@megynkelly Did @CandyCrowley coach you for last nights ","Positive",0,0,0
388,"rubio is off the radar  

#gopdebate @NRO @AlexConant @marcorubio","Negative",0,0,0
389,"RT @FreedomJames7: Who Wants A Hug?
#GOPDebate http://t.co/iaTS8vyx7c","Positive",0.4,1,0.477
390,"Low key impressed I only lost 1 follower tonight ","Negative",0,0,-0.077
391,"RT @RWSurferGirl: So @megynkelly posed for adult pictures.should we bring that up? ","Negative",0,0,0
392,"Who Wants A Hug?
#GOPDebate http://t.co/iaTS8vyx7c","Negative",0.4,1,0.477
393,"RT @Wendie07: ","Negative",0,0,0
394,"","Positive",0,0,0
395,"Omg @megynkelly! I am not a Fox News fan and not a Clinton fan.. But she did an amazing job last night, impressed with her qs. #GOPDebate","Positive",0.65,1,0.896
396,"That about sums it up haha: 2016 bender starts now ","Negative",0.6,0,0.459
397,"RT @Popehat: ","Neutral",0,0,0
398,"RT @cap: ""How will you defeat her Kamehameha attack? How will you survive her Spirit Bomb?""
-#GOPDebate","Neutral",-0.067,-0.2,-0.839
399,"#GOPDebate Winners: #Trump, #Kasich, #Rubio. Losers: #Bush, #Carson, #Cruz | http://t.co/qS4o70ZXBy | http://t.co/JM1zvd5qyd","Neutral",0,0,-0.077
400,"Who's the real illegal alien ","Neutral",-0.6,-1,-0.557
401,"RT @RWSurferGirl: Trump has got it right, nobody would talk about immigration, not untill be brought it up. #GOPDebate #GOPDebates","Neutral",0,1,0
402,"RT @Clarknt67: I trust ","Positive",0.2,1,0.511
403,"RT @GhesheS: ","Negative",0,0,0
404,"RT @ELLEmagazine: ICYMI John Kasich's gay marriage response. Wow. ","Neutral",0.8,-1,0.586
405,"RT @ericstonestreet: Trump has Cam hands. ","Negative",0,0,0
406,"RT @Muxywithmoxie: Walker Emerges as Leading Candidate to Run Enterprise Rent-A-Car Branch http://t.co/X6QA8MUTa7 ","Negative",0,0,0
407,"Funny how the ","Neutral",0.8,1,0.44
408,"RT @RWSurferGirl: I'm really really really pissed off at FOX News for what they did to @realDonaldTrump ","Neutral",-0.8,-1,-0.721
409,".@instagram and @facebook need to free the @Dreamdefenders acct. ","Negative",0.2,1,0.511
410,"RT @UniteBlueWI: ","Neutral",0,0,0
411,"RT @PhillyD: Aggressively Normal?  Found a name for my new mixtape!!  ","Positive",0,0,-0.437
412,"Who's the real illegal alien AMERICA  ","Negative",-0.6,-1,-0.557
413,"RT @Will_Bunch: So smart of Kasich to say, essentially, ""I hear the concerns of Trump voters except that I'm sane"" #GOPDebates","Positive",0.2,1,0.458
414,"Fox News just declared that Megyn Kelly, Bret Baier, and Chris Wallace won tonight's debate. #GOPDebates","Negative",0.6,1,0.572
415,"RT @Sweetpea593: ","Positive",0,0,0
416,"RT @WayneDupreeShow: From earlier tonight on FB from @MarkLevinShow

#GOPDebate http://t.co/ilnovJU2a9","Neutral",0,0,0
417,"https://t.co/pp6uzVFqQl #DonaldTrump ""I've given him plenty of money"" #TrumpWon #GOPDebate","Neutral",0,0,0
418,"Very nice of the ","Neutral",0.6,1,0.475
419,"RT @AnniesListTX: 44%? It's what TX Latina women make to the white man's $. Will the ","Negative",0,0,0.499
420,"","Positive",0,0,0
421,"Oh race issues, this should be good. #GOPDebates","Positive",0.6,1,0.44
422,"This would be much better if they'd had a bracketed battle bot competition. Only the 4 finalist bot builders get to debate. ","Neutral",0.1,0,0.077
423,"RT @Chelsea_Elle: My favorite part of the ","Neutral",0.4,1,0.459
424,"Good eyes .@randikayeCNN on spotting @360vodka Patriot btl on ","Negative",0.6,0.333,0.44
425,"Stuck at work until 9. Can't wait to go home &amp; watch the train wreck that is the ","Neutral",-0.4,-1,-0.599
426,"RT @goldietaylor: Huckabee. ","Negative",0,0,0
427,"RT @goldietaylor: Commercial break! ","Positive",0,0,0
428,"","Positive",0,0,0
429,"RT @OhNoSheTwitnt: I'm surprised Trump doesn't use air quotes when he says ""president"" Obama. #GOPDebate","Positive",0,0,0.226
430,"In his hermetically sealed bedchamber, Pat Robertson has just tuned into the #GOPDebates, popcorn in hand. ""I was told there'd be miracles.""","Neutral",0,1,0.494
431,"#GOPDebates : better than the Phantom Menace, but worse than Revenge of the Sith.","Negative",-0.25,-0.5,-0.872
432,"No doubt! Huge bump! ","Positive",-0.067,-1,0.186
433,"Obviously watching @TheDailyShow. There will be plenty other ","Neutral",0,0,0
434,"RT @johneberkowitz: This sums up the ","Negative",0,0,0
435,"RT @BethBehrs: Classy. ","Negative",0.6,1,0.44
436,"RT @pattonoswalt: Can't believe they're not showing Gwar's opening set. ","Neutral",0,1,0
437,"@megynkelly @BretBaier @FoxNewsSunday Ppl say @realDonaldTrump needs specifics. Yet u gave THOSE type questions ONLY to opponents ","Positive",0,-1,0
438,"RT @TheBaxterBean: WHY IS IT TAKING SO LONG FOR TED CRUZ TO RENOUNCE HIS CANADIAN CITIZENSHIP? http://t.co/6d6xVAfpf1 ","Negative",0,-1,0
439,"RT @Marmel: ""My mother worked...""
- Nobody 
#GOPDebate","Negative",0,0,0
440,"","Negative",0,0,0
441,".@BenCarson2016: ""We are the United States not the divided states."" #GOPdebates","Negative",0.2,0,0.421
442,"RT @guypbenson: Good Rubio answer on immigration, invoking unfairness of system to those who play by the rules. #GOPDebate","Positive",0.6,0,0.649
443,"Isn't ""@FoxNews fact checkers"" an oxymoron? They don't fact check on a daily basis. Or they do &amp; ignore them...like last night. #GOPDebate","Neutral",0,0,-0.459
444,"yall should tithing 10 percent of your followers to Colin. just saying God told you too. ","Neutral",0.2,-1,0.273
445,"RT @BettyFckinWhite: -Can you answer this very direct question?
-I should be president. 
-So, no?
#GOPDebates","Negative",-0.2,0,-0.432
446,"I would've watched the ","Neutral",0,0,0
447,"RT @BettyFckinWhite: So Donald Trump is Biff from Back to the Future 2? ","Neutral",0,0,0
448,"@rushlimbaugh You are so ","Positive",0,0,0
449,"RT @Bipartisanism: Sounds like the ","Negative",0.4,1,0.361
450,"RT @tperkins: TRUTH: The military is not a social experiment. -- @GovMikeHuckabee ","Positive",0,1,0.465
451,"RT @deray: Hillary Clinton is getting a lot of free PR from candidates today at the ","Neutral",0.2,1,0.511
452,"RT @goldietaylor: Commercial break! ","Negative",0,0,0
453,"The #GOPDebate ratings were huge, which appeared to hurt broadcast: http://t.co/DRn2BHOhII","Positive",-0.1,-1,-0.273
454,"RT @dbeltwrites: Donald Trump's hair looks like it's permanently being blurred out by the TV censors. ","Neutral",0,-0.333,0.077
455,"RT @BettyFckinWhite: -Can you answer this very direct question?
-I should be president. 
-So, no?
#GOPDebates","Neutral",-0.2,0,-0.432
456,"Chris Christie: Pro-Life Republicans Should Never Apologize for Being Pro-Life http://t.co/mDMnEd8lGq ","Positive",-0.2,1,-0.076
457,"#GOPDebate I loved Walker nodding along to Carson's responses. Carson speaks common sense, sadly that is an uncommon trait.","Positive",0.1,0.333,0.273
458,"@GovernorPerry Who the heck is Ronald Raven? ","Negative",0,0,0
459,"@Bipartisanism Well, technically we didn't, but the Supreme Court said we did.  #GOPDebate","Neutral",0,1,-0.516
460,"RT @HillaryClinton: Watch the ","Negative",0,0,0
461,"RT @afroCHuBBZ: For more information visit http://t.co/8aUPR2VS6Z ","Negative",0,0,0
462,"@FoxNews I Am Listening To A  Radio Station.
They Are Calling In A/B The #GOPDebate #BlackFolks
Gave You A #GOPFail #Cleveland #OHIO","Neutral",0,0,0
463,"RT @averykayla: At what point am I suppose to stop laughing and start crying? ","Negative",-0.133,-1,-0.273
464,"I forgot Ted Cruz was there ","Neutral",0,-1,0
465,"These fox news debates are no more than comedy at the laugh store... it's all for fun. ","Negative",0.25,1,0.817
466,"RT @MonsterandBoy: I am in an uproar for not being invited to tonight's debate! I demand a reason!  ","Negative",-0.2,-1,-0.27
467,"RT @DrunkJCrewUGuys: Special Edition ","Neutral",0,1,0.402
468,"RT @BiasedGirl: Thank you, @megynkelly for exposing Donald Trump as the fraud he is. Thank You. 

#GOPDebate #DumpTrump","Positive",-0.05,0.333,-0.226
469,"#Trump lowered the bar for #Jeb, who smacked his head into it  #GOPClownCar #GOPDebate","Negative",0,-1,-0.128
470,"RT @ShawnDrurySC: Jeb: My father was...OH NEVERMIND. Parenting is so overrated. ","Negative",0,0,0
471,"RT @LollyOhMy: Good thing ","Positive",0.6,1,0.44
472,"Watching the #GOPDebates on tape delay: isn't the overtime buzzer the same as the one from Jeopardy's ""Daily Double""?","Neutral",-0.2,-1,-0.318
473,"RT @richarddeitsch: .@FrankBruni on ","Positive",0,0,0
474,"RT @thatsmylobster: @Wiseguysutah hey, is Donald Trump coming to Wiseguys anytime soon? I'd like advance tickets. #GOPDebate","Negative",0.4,1,0.421
475,".@CorrectRecord
Cancel the primaries. Fox Party set up &amp; anointed their man Jeb Bush
#GOPDebates #CantTrustABush http://t.co/bgzYsySfSU","Negative",-0.2,0,0.178
476,"7 takeaways on the ","Negative",0,0,0
477,"Agree with @IngrahamAngle on @foxnews questions for ","Positive",0.2,1,0.361
478,"","Negative",0,0,0
479,"Finally watched the #GOPDebate, freakin' hilarious. Kelly killed it, and Trump definitely got his showboat. Was there anyone else there?","Neutral",-0.1,-0.333,-0.026
480,"And...#DonaldTrump remains at the top of the polls! Boo what is wrong with people! #Kasich2016 did well. #GOPDebate ""fat pig"", women..NO","Negative",-0.067,-0.333,-0.198
481,"Look at Jeb coming through with throwing GWB under the bus about the Iraq War. He needs to do this more often. ","Positive",-0.4,-1,-0.599
482,"RT @ericstonestreet: Trump has Cam hands. ","Positive",0,0,0
483,"WFIE 14 NEWS ARE U GOING TO REPORT NEWS AFFECT'N OUR NATION? https://t.co/bdXB2VkyQw via @YouTube @RealAlexJones ","Negative",0,0,0
484,"RT @RWSurferGirl: A big problem facing Democrats will be how to get Hillary sober long enough for her to debate? ","Neutral",-0.1,0,-0.402
485,"RT @JoyCaresCLE: Very cute! Can we vote a dog on the dollar bill or for president? ","Neutral",0.4,1,0.555
486,"Megyn Kelly played footies with Debbie Washerwoman Schultz. She attempted to take out Donald Trump. 
#Foxnews
#Gopdebate","Positive",0,0,0.34
487,"RT @SupermanHotMale: Dear Senator Rubio, God has nothing to do with the Republican party... Get it right. #GopDebates","Neutral",0.3,1,0.751
488,"Trump is anti-fragile
 #gopdebate 
#Trump
#trumpdebate","Negative",0,0,0
489,"FTW Ron. You nailed it he came close to telling Megyn to shut up. ","Negative",0.6,0,0.577
490,"RT @darth: so apparently the candidates are arriving at the debate site

#GOPDebate http://t.co/GeXsjxrct3","Negative",0,0,0
491,"RT @lovablegold: This got me crying ","Positive",-0.4,-1,-0.477
492,"RT @MarkDavis: #Perry, #Fiorina clips on #IranDeal are better than most answers being given in this debate #GOPDebates","Negative",0.4,1,0.44
493,"RT @BradOnMessage: While you were watching the #GOPDebate, the candidate @algore endorsed for Nashville Mayor lost. badly.","Negative",-0.267,-1,-0.527
494,"@realDonaldTrump any thoughts on this claim? ","Neutral",0,0,0
495,"Now Ben Carson wants to try and be interesting.  ","Negative",0.4,1,0.402
496,"@AlPal_23 wins snapchat ","Negative",0.8,1,0.572
497,"@RandPaul didn't defend the 4th amendment too eloquently last night but this article is a good mediator http://t.co/VLt68ymse2 ","Negative",0.6,0.5,0.593
498,"RT @SFGate: Internet has some fun with the ","Neutral",0.8,1,0.511
499,"The perfect remedy for a ","Negative",0.6,1,0.572
500,"""Donald #Trump: of all the Donald Trumps in the world, you're the Donald Trumpiest !"" http://t.co/E2rBoZ1Zwy 
@realDonaldTrump #gopdebate","Negative",0,0,0
501,"And what a big mistake it was for Wallace to question @realDonaldTrump's business tactics. Never question Trump on business ","Negative",-0.1,-1,-0.34
502,"If you are one to complain about America's corrupt 2 party system - you better not complain about Trump's threat last night ","Positive",-0.2,-0.6,0.205
503,"Why would you talk about Obama's foreign policy when the moderator asked what you would do ","Neutral",0,0,0
504,"RT @Gauchat: Hopefully we'll find out where God stands on the taxing-pimps issue. ","Negative",0.3,1,0.586
505,"RT @micnews: 4 years after booing a gay soldier, the #GOPDebate crowd cheered LGBT acceptance http://t.co/k7WaKz1g5Q http://t.co/qE2TpUTVW3","Neutral",0.4,0.333,0.743
506,"RT @NARAL: .@BobbyJindal brags about how anti-choice his state is; @amprog report in 2013 said Louisiana was WORST state for women. ","Negative",-0.6,-1,-0.703
507,"Guys, thanks for not unfollowing me in masses after last night #GOPDebate","Negative",0.4,1,0.44
508,"RT @FreedomTexasMom: I'd say ","Neutral",0,0,0
509,"RT @Beem_Skeem: ","Positive",0,0,0
510,"@BruceBartlett @JesseLaGreca  ","Positive",0,0,0
511,"RT @pfikac: .@JebBush 'We are on the verge of the greatest time to be alive in this world but Washington is holding us back' ","Negative",0.4,1,0.527
512,"Best line of the night?

#MarcoRubio #GOPDebate http://t.co/zhnqHDPILn","Positive",0.6,1,0.637
513,"RT @kwrcrow: @realDonaldTrump hits it out of park on @FoxNews gotcha question on campaign donations. ","Neutral",0,-1,0
514,"A minister, a doctor and 2 business owners walked on a stage last night and made the most sense to me. #GOPDebate http://t.co/Gly4myQxYw","Positive",0,1,0
515,"RT @goldietaylor: Commercial break! ","Neutral",0,0,0
516,"RT @Jarjarbug: Cary Fiorina should have been in the top tier last night... I can think of a couple of @GOP who shouldn't even bother! ","Neutral",0,-1,0.482
517,"Walker Emerges as Leading Candidate to Run Enterprise Rent-A-Car Branch http://t.co/X6QA8MUTa7 ","Negative",0,0,0
518,"I think all the GOP candidates have a secret crush on Hillary because they were trashing talking her so much. ","Negative",-0.2,-1,-0.153
519,"","Neutral",0,0,0
520,"RT @Montel_Williams: Gaining the most in tonight's ","Positive",0.4,0,0.421
521,"","Negative",0,0,0
522,"RT @MarkDavis: #Perry, #Fiorina clips on #IranDeal are better than most answers being given in this debate #GOPDebates","Positive",0.4,1,0.44
523,"In honor of the ","Neutral",0.4,1,0.494
524,"RT @ericstonestreet: Trump has Cam hands. ","Positive",0,0,0
525,"Lemme see...who else?Bush, Rubio? Too similar. #GOPDebate","Negative",0,-1,0
526,"RT @fieldnegro: The happiest person in America today after watching those debates is HRC. ","Positive",0,1,0.637
527,"RT @stephenstephan: Rubio: Basically all life is sacred. ","Positive",0,1,0
528,"It's fascinating to see the post-post ","Negative",0.6,1,0.542
529,"Kept wondering where The Donald left his pinky ring and gold chains were, what with his used car salesman gesturing/talk. #GOPDebate","Negative",0,1,0
530,"RT @SupermanHotMale: Dear John Kasich, Beat your Republican friends with a gay tree branch : )  #GopDebates","Positive",0.4,1,0.691
531,"God blessed our country, the Republican candidates....but NOT them democrats. -Rubio #Paraphrase #GOPDebates you... http://t.co/PgijYpJZdf","Negative",0.2,1,0.718
532,"Thanks @EAT24 and Donald Trump! Just got a Pepperoni Roll &amp; a root beer for $7.50 + tip. ","Positive",0.4,1,0.493
533,"RT @Torchie123: This guy got the real shaft in the #GopDebate tonight.
WHY IS THAT? 
# http://t.co/zw8jUPqP11","Positive",0,0,0
534,"RT @kwrcrow: When will they learn? @FoxNews @megynkelly attack @realDonaldTrump and he wins @TIME &amp; @DRUDGE poll. ","Negative",0.3,0.333,0.153
535,"1:34:49. Aaaaand about the question? ","Neutral",0,0,0
536,"RT @LindaSuhler: Jeb Stands By ""Act of Love""; Comments and Earned Legal Status [BOO]
#NoAmnesty
http://t.co/hImScrVikr
#GOPDebates","Negative",0.4,0,0.691
537,"RT @msgoddessrises: No doubt! Huge bump! ","Negative",-0.067,-1,0.186
538,"RT @NARAL: ""@scottwalker, given your record in Wisconsin, why should voters believe you?"" Great question, #GOPDebate.","Positive",0.6,1,0.625
